author,university,thesis_count,years,thesis_types,tez_nos,titles
EKİN BERK EKİNCİ,Bilkent University,1,2026,Yüksek Lisans,Ja48S5QiJWsq8UE1yrXR0w,Nextstereo: Directionally driven channel expansion gives adaptive real-time ster
BERKE PİLAVCILAR,Boğaziçi University,1,2026,Yüksek Lisans,HuLLHsuy_dYBheVpx05nPA,A deep learning based digital twin framework for track stiffness estimation usin
AHMET ALKILINÇ,Hacettepe University,1,2026,Doktora,5Dykqx7cwNSNnLWJy5O93g,Deep ensemble learning and federated knowledge distillation methods for waste cl
AHMET YUSUF ŞİRİN,Hacettepe University,1,2026,Yüksek Lisans,R2vTPvHJWruoHdMvOl2ARw,Yinelemeli stereo kamera ve lidar füzyonu kullanılarak derinlik tahmininin iyile
BURAK KARACA,Hacettepe University,1,2026,Doktora,QY9ntCodWpRYJPKrfXewBQ,Derin öğrenme algoritmaları ile rüzgar enerjisinden üretilen elektrik yükünün ta
ESRA EROĞLU DEMİRKAN,Hacettepe University,1,2026,Doktora,CjDc91Q5sNUKmojdcr8JOw,Image-based malware detection: Hybrid deep learning and entropy-aware self-super
EZGİ İPLİKÇİ,Hacettepe University,1,2026,Yüksek Lisans,8YgkHwvq3PAimkU6tr_E1A,Geleneksel ve makine öğrenmesi yöntemleri ile cox regresyon modeli için imputasy
FATIMA ULUBAYOVA,Hacettepe University,1,2026,Doktora,mcPsbTjuhXOaqJsFBr6P8g,Dengesiz öneme sahip talep altında envanter kararlarını optimize etmek için sini
KARDELEN KAYA,Hacettepe University,1,2026,Yüksek Lisans,4mcSG4pgQx_R815-Lg2DBA,Forecasting global ionospheric total electron content with deep learning algorit
MEHMET FİKRET ÖCAL,Hacettepe University,1,2026,Doktora,a3dHH8BFuXr2_srUnpqffw,Development of a low cost tightly-coupled gnss integrated visual inertial naviga
MÜSLÜM ALTUN,Hacettepe University,1,2026,Doktora,t4OGl0bGn17T-RE2upKZvg,An object-based lightweight cnn model for crop classification using satellite im
OZAN EGE CAMCI,Hacettepe University,1,2026,Yüksek Lisans,rUm4Z6lB33F_34T1wuEAYg,Assessment of flight maneuver quality with algorithmic approaches / Classificati
PINAR HAZAN,Hacettepe University,1,2026,Yüksek Lisans,x387AC5PrfGuD25g1VhZGA,Optical tracklet simulation for space surveillance and tracking / The impact of 
TALHA KILIÇEL,Hacettepe University,1,2026,Yüksek Lisans,CQ0WrHCzDF6h9jEyTlykow,Analysis and design of a fully compliant slider crank mechanism with straight li
ZAHİDE ERDEM,Hacettepe University,1,2026,Yüksek Lisans,90w-coQtwztx-uFs9S95mg,Makine öğrenmesi yöntemlerinin kasık fıtığı cerrahisi sonrası uzamış hastane yat
ÖMER FARUK IŞIK,Hacettepe University,1,2026,Yüksek Lisans,Kcn9nmWfOdjgyPZjFPczeQ,An iterative transformer framework for isolated turkish sign language recognitio
BEYAZIT BESTAMİ YÜKSEL,Istanbul Technical University,1,2026,Doktora,WrYdY549d36C-H5alLVHIw,A unified framework for secure and intelligent ECG signal processing via chaotic
KIYMET KAYA,Istanbul Technical University,1,2026,Doktora,hUEIhOq_w64S3fw2TAzbXw,"Resilient and sustainable smart cities: Cybersecurity, disaster management, and "
OSMAN MERT TOSUN,Istanbul Technical University,1,2026,Yüksek Lisans,33HbQy5IarHSP9fTEp_ltw,Customer network experience modeling: Network KPI-based scoring in the context o
SEYFETTİN MUHİBBULLAH ULUOCAK,Istanbul Technical University,1,2026,Doktora,PjLWGPA4_2PtpPl56d4Qag,OFDM-based received waveform design and processing techniques to detect and clas
İLKEM AHU ŞAHİN,Istanbul Technical University,1,2026,Doktora,HprE1EqTBlXSTAJwaxrwCA,A historical evaluation of artificial intelligence with focus on algorithms gene
AMMAR KHALBOUS,Istanbul University,1,2026,Yüksek Lisans,t3T7kYJ9FK2WHcKL50smWA,Metasezgisel yöntemler kullanılarak karbon lifli polimerler ile optimum güçlendi
HİDAYET KEMAL UYAR,Istanbul University,1,2026,Doktora,t7jZtyNN6IpuCNhRUWwgXw,Havzaların sismik tepkisinin tasarım spektrumlarına etkisi: Havza etki faktörü /
MELEK İLHAN,Istanbul University,1,2026,Yüksek Lisans,YJ7cY7fwbNlxIZUnVqknCg,Özel yetenekli öğrencilerde STEM tabanlı yapay zekâ çözümlerinin bilgi işlemsel 
NADA A. M. MISK,Istanbul University,1,2026,Doktora,yWaU3b-hq7ZeHJakatuiOw,A novel energy-efficient attention-based transformer model for medical images / 
YUSUF BÜYÜKTEPE,Istanbul University,1,2026,Yüksek Lisans,gRftyHAf8qCiBmDCK6kpXQ,Yapay zekâ araçları ile üretilen içeriklerin öğrenci motivasyonu ve başarısı üze
KEREM DALĞIÇ,Koç University,1,2026,Yüksek Lisans,ubPVWkeJT6znLFcDUcAKcg,The comparative analysis and characterization of exosomes derived from human pla
HACER GÜNER,Middle East Technical University,1,2026,Doktora,HTTcm8Hxuicx79gsv9HHag,Integrating generative AI into programming education: An exploratory study of st
NİLSU ŞAHİN,Middle East Technical University,1,2026,Yüksek Lisans,JZk0dA1Iup-Xu30RKZF5qQ,An integrated computational approach for AI-assisted BIM analytics and digital t
OLCA ORAKCI,Middle East Technical University,1,2026,Yüksek Lisans,heHXAAnTcinfMb1CRn1E7w,An LLM-driven framework for automatic curriculum learning to enhance generalizat
SİNAN DÜZTAŞ,Middle East Technical University,1,2026,Yüksek Lisans,VenRi4iW8wOuap_9CWF1yg,A hybrid deep learning framework for advanced detection of domain generation alg
UMUT GÜLER,Middle East Technical University,1,2026,Yüksek Lisans,924zzf0v_bmwEPoz83bjmA,Assessment of AI-generated front-end code quality: A comparative study / <strong
BÜŞRA ŞENEL KAHYAOĞLU,Yıldız Technical University,1,2026,Yüksek Lisans,BAWpqCdSymzcfiQKQFfcTQ,Kalp hastalıklarının erken teşhisi için makine öğrenmesi algoritmalarının karşıl
EMİNE YARGI,Yıldız Technical University,1,2026,Yüksek Lisans,EJo5OdxGeRQ_-Dku7Rwmcg,Yapay zeka desteği ile oluşturulan görsellerin metinlerden anlam kurmaya etkisi 
FURKAN AKBAŞ,Yıldız Technical University,1,2026,Yüksek Lisans,MK3w8o63_eJ5_kxz8bt1ig,Evaluating AI-generated and human-authored reading passages in ELT: A comparison
LALEZAR HOŞGÜL SENEM,Yıldız Technical University,1,2026,Yüksek Lisans,bgGWO3WhlwRll9oQx9QT-Q,Yapay zekâ temelli video materyallerinin yabancılara Türkçe öğretiminde öğrencil
MUHAMMED İKBAL KARADELİ,Yıldız Technical University,1,2026,Yüksek Lisans,QNyenbQbGXyj8806H2WWLg,Yapay zeka tabanlı davranışsal veri analizi ile siber güvenlik tehditlerin önlen
MURAT TETİK,Yıldız Technical University,1,2026,Yüksek Lisans,1B8C8c2X70PFphgRRpmxHQ,Makine öğrenmesi yöntemleri ile deniz üzerindeki insanların tespiti / Machine le
MUSTAFA KESER,Yıldız Technical University,1,2026,Yüksek Lisans,zz7Fa_kHcom8p6ChUfjuBw,Avoiding attacks in wireless communications using reinforcement learning / Pekiş
İREM AYDIN,Yıldız Technical University,1,2026,Yüksek Lisans,4AQP9Ribzin2LC0z37GSgg,Havayollarında makine öğrenmesi temelli müşteri memnuniyet analizi / Defect clas
