author,university,thesis_count,years,thesis_types,tez_nos,titles
ABDULKERİM BEKAR,Istanbul Technical University,1,2026,Yüksek Lisans,1002727,An investigation of the performance of text mining-based text representation and
EMİNE PACCİ,Istanbul Technical University,1,2026,Yüksek Lisans,1002527,Pet görüntülerinde gürültü azaltıcı difüzyon olasılıksal modeller (DDPMs) ile gü
KAĞAN ÇELİK,Istanbul Technical University,1,2026,Yüksek Lisans,1002762,Lmm-iqa: image quality assessment for low-dose ct imaging / Lmm-ıqa: düşük dozlu
ŞEVVAL COŞKUN,Istanbul Technical University,1,2026,Yüksek Lisans,1002346,Neutrino particle direction estimation using transformer-based deep learning / T
MUAMMER UĞUR,Yıldız Technical University,1,2026,Doktora,1002723,Dinamik ödül tabanlı çok ajanlı pekiştirmeli öğrenme ile TR-VTOL iha kontrolü / 
SERCAN GER,Yıldız Technical University,1,2026,Yüksek Lisans,1002369,Veri madenciliği yöntemiyle dijital dönüşüm projelerinin risk ve başarısının inc
